run,duration,waiting_mean,waiting_max,running_mean,running_max,arrived_mean,arrived_max,arrived_final,departed_final,inserted_final,ended_final,meanSpeed_mean,meanSpeed_max,meanTravelTime_mean,meanTravelTime_max,meanWaitingTime_mean,meanWaitingTime_max
Fixed,4089.0,284.779217603912,601.0,111.35696821515893,149.0,722.2831295843521,1344.0,1344.0,0.0,1468.0,1344.0,1.1612933985330072,9.09,132.5876821515892,189.08,48.004789731051346,162.65
DDQN,4094.0,34.50322344322345,111.8,65.90339438339439,161.3,1019.1403907203907,1972.9,1972.9,0.0,2020.9,1972.9,4.030794871794872,13.386,61.99679511599511,109.883,14.635241269841268,61.593
LLIRL,4094.0,10.135921855921858,51.0,57.9410989010989,173.2,1051.4699877899877,2033.3,2033.3,0.0,2042.0,2033.3,4.291154822954822,11.54,63.49247252747252,110.537,5.2781106227106225,21.287
