run,duration,waiting_mean,waiting_max,running_mean,running_max,arrived_mean,arrived_max,arrived_final,departed_final,inserted_final,ended_final,meanSpeed_mean,meanSpeed_max,meanTravelTime_mean,meanTravelTime_max,meanWaitingTime_mean,meanWaitingTime_max
Fixed,9499.0,1617.7394736842105,2896.0,158.05715789473683,233.0,2513.075263157895,4385.0,4385.0,0.0,4532.0,4385.0,1.0916242105263159,9.44,186.07048736842103,273.45,138.0832147368421,456.74
DDQN,9504.0,1295.965618095739,2674.2,226.82508153603365,299.5,2761.801935823251,5628.6,5628.6,0.0,5895.7,5628.6,2.184493319305629,13.317,168.15542851130982,304.294,403.8654226196739,1284.653
LLIRL,9504.0,1209.3570436612308,2572.0,226.23514992109418,306.0,2849.0004418726985,5876.4,5876.4,0.0,6139.6,5876.4,2.226796738558653,12.277,164.79458947922146,301.608,387.30886144134666,1257.453
