run,duration,waiting_mean,waiting_max,running_mean,running_max,arrived_mean,arrived_max,arrived_final,departed_final,inserted_final,ended_final,meanSpeed_mean,meanSpeed_max,meanTravelTime_mean,meanTravelTime_max,meanWaitingTime_mean,meanWaitingTime_max
Fixed,8499.0,1083.6777647058823,2122.0,142.08223529411765,192.0,1924.062588235294,3624.0,3624.0,0.0,3765.0,3624.0,1.2845094117647058,13.1,169.60696823529415,269.79,128.87843882352942,419.79
DDQN,8504.0,575.9420576131688,1352.5,166.35813051146386,248.5,2434.2019870664312,4988.5,4988.5,0.0,5184.0,4988.5,2.73245443856555,15.23,114.12738083480306,219.468,150.05871393298062,633.815
LLIRL,8504.0,522.2767195767195,1237.8,165.76265726043502,252.6,2488.4627983539094,5076.9,5076.9,0.0,5237.3,5076.9,2.7812614932392705,14.486,119.27904256319812,226.477,139.85367877718988,567.434
