run,duration,waiting_mean,waiting_max,running_mean,running_max,arrived_mean,arrived_max,arrived_final,departed_final,inserted_final,ended_final,meanSpeed_mean,meanSpeed_max,meanTravelTime_mean,meanTravelTime_max,meanWaitingTime_mean,meanWaitingTime_max
Fixed,7999.0,670.757125,1420.0,126.144125,186.0,1461.733875,2858.0,2858.0,0.0,3008.0,2858.0,1.3977237500000002,13.76,170.7872525,267.25,114.415755,389.78
DDQN,8004.0,154.05531542785758,389.0,103.8132792004997,188.9,2019.8390880699562,4184.4,4184.4,0.0,4270.0,4184.4,3.241897938788257,14.036,86.83253466583386,159.923,56.35579038101187,234.273
LLIRL,8004.0,82.3566645846346,212.7,85.26419737663959,160.1,2110.0868207370395,4291.6,4291.6,0.0,4341.9,4291.6,3.3986214865708937,13.169,81.57552254840724,138.624,31.59172991880075,122.668
