run,duration,waiting_mean,waiting_max,running_mean,running_max,arrived_mean,arrived_max,arrived_final,departed_final,inserted_final,ended_final,meanSpeed_mean,meanSpeed_max,meanTravelTime_mean,meanTravelTime_max,meanWaitingTime_mean,meanWaitingTime_max
Fixed,4089.0,867.3259168704157,1801.0,167.64229828850856,213.0,1061.6674816625916,2083.0,2083.0,0.0,2265.0,2083.0,1.1324009779951099,9.09,149.44767970660146,264.74,86.26096088019558,314.59
DDQN,4094.0,721.2659462759462,1537.5,172.70013431013433,232.55,1206.5066910866913,2310.05,2310.05,0.0,2540.4,2310.05,1.7706065934065933,9.208,104.35193357753357,180.9475,110.23529621489621,422.9805
LLIRL,4094.0,691.4389865689866,1441.05,171.74472527472528,237.75,1237.2890598290599,2403.65,2403.65,0.0,2626.15,2403.65,1.9385650793650795,9.3205,104.33518083028083,186.057,109.70661953601955,411.6535
